timestamp,load,vibration_x,vibration_y,q3,servo1_raw,servo3_raw,servo5_raw,servo6_raw,xgyro,yacc,pitch,rollspeed,label
09:47.3,605,1.33E-08,0.000128741,-0.000813135,746.047619,744.952381,750,750,0.004422444,0.020768124,-0.021909692,0.00442251,benign
09:48.4,608,1.45E-08,0.000126997,-0.00240359,746.3571429,746.6666667,750,750,0.006058777,-0.028414828,-0.031893852,0.006303446,benign
09:49.4,608,1.43E-08,0.000130207,-0.004407412,747.8095238,743.6666667,750,750,-0.002929887,-0.015685385,-0.039297725,-0.00319137,benign
09:50.5,611,1.91E-08,0.000153797,-0.002438823,745.3095238,744.3333333,750,750,0.001439536,-0.024146225,-0.038242329,0.00128151,benign
09:51.5,610,1.51E-08,0.000134865,-0.000794624,745,747.7857143,750,750,-0.004338151,-0.017787522,-0.036914419,-0.004338125,benign
09:52.6,610,1.41E-08,0.000131302,0.002208021,746.6904762,743.8095238,750,750,-0.00239781,0.023065856,-0.025068039,-0.002397804,benign
09:53.6,608,1.36E-08,0.000129338,0.001285459,746.6666667,739.9761905,750,750,0.006174554,-0.018586936,-0.029087191,0.00621518,benign
09:54.7,609,1.59E-08,0.000144139,0.000583686,745.3095238,743.2142857,750,750,-0.004200096,0.022733002,-0.030227194,-0.003448557,benign
09:55.7,610,1.67E-08,0.000145212,0.000801978,743.452381,746.5952381,750,750,0.000683703,0.000461374,-0.036093099,0.00071575,benign
09:56.8,608,1.45E-08,0.000131031,0.002095756,739,743,750,750,-0.000110289,0.020122571,-0.032268474,0.000171102,benign
09:57.8,607,1.18E-08,0.000124949,0.001672594,744.9761905,748.8571429,750,750,0.004017786,0.023138291,-0.033819987,0.004017756,benign
09:58.9,610,1.30E-08,0.000131973,0.001715236,739.4047619,748.2142857,750,750,-0.001353566,0.017113763,-0.031713654,-0.001287575,benign
09:59.9,608,1.80E-08,0.000142745,0.002101127,747.5714286,747.4285714,750,750,-0.00217436,0.015560081,-0.028700771,-0.002174418,benign
10:01.0,608,1.47E-08,0.000130438,0.00184178,748.7142857,745.6190476,750,750,0.000835972,0.002304658,-0.030926994,0.000978176,benign
10:02.0,607,1.24E-08,0.000122208,0.00047493,746.8333333,744.7857143,750,750,0.001689275,0.003239323,-0.032167871,0.00168911,benign
10:03.1,610,1.50E-08,0.000128829,0.000488161,746.3095238,745,750,750,-0.004291816,0.002501254,-0.030704286,-0.004291896,benign
10:04.1,606.5,1.54E-08,0.000129543,0.000717359,741.3333333,745.452381,750,750,0.005060629,0.003383577,-0.031655651,0.00496324,benign
10:05.2,602,1.33E-08,0.000115303,0.000228121,744.547619,743.1666667,750,750,-0.002427365,0.002213789,-0.033385155,-0.002427487,benign
10:06.2,606,1.43E-08,0.000123736,9.13E-05,739.5952381,747.0952381,750,750,0.001941315,0.005605265,-0.032714405,0.001883085,benign
10:07.3,608,1.12E-08,0.000112531,0.000740769,744.9761905,747.5,750,750,0.002916536,0.005385872,-0.032342166,0.002916506,benign
10:08.3,601,1.70E-08,0.000128466,0.00035515,745.2857143,745.8809524,750,750,-0.005556766,0.006759795,-0.032645318,-0.005556796,benign
10:09.4,605,1.40E-08,0.000122856,0.000687397,747.0952381,744.952381,750,750,0.004516416,0.00962803,-0.028980397,0.003771886,benign
10:10.4,603,1.24E-08,0.000118958,0.001035326,745.1666667,745.5,750,750,-0.000127991,0.020091195,-0.027575943,-0.000600737,benign
10:11.5,603,1.38E-08,0.000121956,-0.000613426,748.452381,744.4285714,750,750,0.002392245,0.023110471,-0.026068525,0.002392343,benign
10:12.5,606,1.28E-08,0.000117629,-0.000322691,746.2619048,744.3095238,750,750,-0.001315249,0.017352584,-0.027981144,-0.001315071,benign
10:13.6,608,1.46E-08,0.000123522,-0.001580405,745.1428571,746.452381,750,750,0.000602145,0.00825678,-0.033605041,0.000383684,benign
10:14.6,609,1.45E-08,0.000120419,-0.000321608,746.8571429,741.7857143,750,750,0.003902517,0.006083109,-0.028353839,0.003902588,benign
10:15.7,604,1.51E-08,0.000125536,0.001041276,745.8809524,745.6190476,750,750,-0.008503041,0.011238429,-0.027554053,-0.008503,benign
10:16.7,606,1.55E-08,0.00012912,0.00150969,746.6666667,744.452381,750,750,0.008064601,-0.003252817,-0.027787411,0.008064641,benign
10:17.8,609,1.49E-08,0.000124374,-0.002925511,745.9047619,747.1428571,750,750,0.004141761,-0.048398425,-0.038565127,0.004084928,benign
10:18.8,602,1.46E-08,0.000118514,-0.005287245,743.547619,744.2380952,750,750,0.002783587,-0.047597687,-0.045253271,0.002603745,benign
10:19.9,602,1.25E-08,0.00011398,-0.004980776,745.9285714,744.5238095,750,750,-0.002738996,-0.062520311,-0.048123928,-0.002738948,benign
10:20.9,597,1.26E-08,0.000115942,-0.002225803,745.0238095,746.3571429,750,750,-0.010238876,-0.051118722,-0.046465862,-0.010238974,benign
10:22.0,602,1.31E-08,0.000117656,-6.80E-05,744.2857143,745.2380952,750,750,-0.000783421,-0.05391528,-0.044867767,-0.001248302,benign
10:23.0,600,1.42E-08,0.000122919,0.002621408,747.5952381,747.0714286,750,750,-0.0064374,0.023976912,-0.028758454,-0.00618723,benign
10:24.1,603,1.30E-08,0.000115774,0.003310849,741.8095238,742.4047619,750,750,-0.002583118,0.006768263,-0.02532299,-0.002583191,benign
10:25.1,604,1.32E-08,0.000122606,0.001334703,744.3809524,740.7619048,750,750,0.007251177,0.007478558,-0.030285263,0.007251071,benign
10:26.2,611,1.55E-08,0.000127951,0.000339787,746.9047619,743.952381,750,750,-0.000375691,0.045281119,-0.0335765,-0.000388946,benign
10:27.2,599,1.31E-08,0.000115746,0.000435975,745.0238095,743.9285714,750,750,-0.004672893,0.028078262,-0.030236921,-0.004672916,benign
10:28.3,601,1.15E-08,0.000113748,0.001066049,745.8333333,743.7380952,750,750,0.002630305,0.013952731,-0.029173031,0.002630283,benign
10:29.3,609,1.26E-08,0.00011477,0.00192664,747.3571429,750.3333333,750,750,-0.003743741,0.010768587,-0.02981424,-0.003743739,benign
10:30.4,605,1.61E-08,0.000124105,-0.000103425,745.9285714,741.6666667,750,750,0.00267507,0.018161348,-0.030051903,0.002675098,benign
10:31.4,606,1.46E-08,0.000118287,0.00118018,742.2857143,744.6190476,750,750,0.00512376,0.046234815,-0.023729918,0.005123868,benign
10:32.5,604,1.49E-08,0.000116564,0.001784073,746.2619048,746,750,750,-0.007367078,0.027731334,-0.021754572,-0.00736698,benign
10:33.5,606,3.47E-08,0.000139536,0.000503715,745.6904762,743.2857143,750,750,-0.000751073,0.045766767,0.042881373,-0.000750989,benign
10:34.6,600,3.28E-08,0.000142377,0.000176532,748.0952381,748.1428571,750,750,0.011778161,0.040696623,0.161004203,0.01172662,benign
10:35.6,604,2.66E-08,0.000141972,-0.008117572,747.1666667,744.3571429,750,750,0.018840025,0.010351447,0.121092015,0.019449569,benign
10:36.7,649,3.15E-08,0.000151263,-0.012808856,746.2380952,747.2857143,750,750,-0.003764075,-0.023166399,0.038324461,-0.003890864,benign
10:37.7,649,2.07E-08,0.000131875,-0.005100724,740.5952381,744.0238095,750,750,-0.018335967,-0.013049623,0.001490173,-0.01832092,benign
10:38.8,655,2.53E-08,0.000145778,0.006833206,742.3809524,745.6428571,750,750,-0.018704068,-0.010988866,0.006169121,-0.01794397,benign
10:39.8,650,3.28E-08,0.000149619,0.010500724,746,742.547619,750,750,0.001560552,-0.022278843,0.018063598,0.002140786,benign
10:40.9,643,8.31E-08,0.000188822,0.005138113,750.9047619,745.1666667,750,750,0.019545213,-0.02217925,-0.106751254,0.019473615,benign
10:41.9,611,9.68E-08,0.000232654,0.001553455,749.2142857,751.7380952,750,750,-0.011396619,-0.029245891,-0.179229926,-0.012141773,benign
10:43.0,620,9.22E-08,0.000233218,0.010909008,745.0714286,747.0238095,750,750,-0.017111549,-0.007017582,0.123224661,-0.01660283,benign
10:44.0,650,3.11E-08,0.000143196,0.007074182,745.2857143,743.0714286,750,750,0.030116771,-0.013445698,0.13508457,0.03120783,benign
10:45.1,651,3.72E-08,0.000152329,-0.011575006,747.1190476,743.0952381,750,750,0.036457891,-0.003751708,0.055883596,0.036369802,benign
10:46.1,656,4.79E-08,0.000166111,-0.019116129,743.5952381,750.047619,750,750,-0.004131814,-0.016017279,-0.010083127,-0.004484136,benign
10:47.2,653,3.18E-08,0.000148513,-0.005338054,737.2142857,753.2142857,750,750,-0.057925438,-0.007927872,-0.014426776,-0.05868564,benign
10:48.2,653,2.53E-07,0.000428444,0.145402999,747.2857143,770.8809524,750,750,-0.369133,0.032500046,-0.080967195,-0.369327829,benign
10:49.3,653,3.29E-07,0.000563239,0.145778845,760.5714286,758.9047619,750,750,0.068278904,0.109274241,-0.211877863,0.068885957,benign
10:50.3,649,2.10E-07,0.000418133,0.039139138,762.6666667,731.7619048,750,750,0.009390227,0.05286135,-0.032925867,0.009578641,benign
10:51.4,652,5.09E-08,0.000171168,0.006787276,744.0238095,748.0238095,750,750,0.063440488,0.126443107,0.01917995,0.063159425,benign
10:52.4,654,4.66E-08,0.000171027,-0.04164756,748.8095238,746.3333333,750,750,0.044685534,0.118966258,0.095156614,0.044764122,benign
10:53.5,659,3.19E-08,0.000152728,-0.070521993,747.8333333,747.047619,750,750,0.002163446,0.0431234,0.141823597,0.003077125,benign
10:54.5,653,3.59E-08,0.000153615,-0.036697179,746.5714286,745.1666667,750,750,-0.028215575,0.006703485,0.063980301,-0.028634483,benign
10:55.6,657,2.98E-08,0.000143528,-0.001526012,742.9047619,747.5952381,750,750,-0.023302779,-0.000528342,-0.001947515,-0.0233934,benign
10:56.6,656,2.26E-08,0.000136328,0.004691097,744.2142857,744.0714286,750,750,-0.007394758,-0.020183884,-0.000266722,-0.008229911,benign
10:57.7,654,2.34E-08,0.000133102,-0.00030228,745.8095238,743.547619,750,750,0.002787045,-0.008274595,0.01508747,0.002602701,benign
10:58.7,650,2.02E-08,0.00012393,-0.003281329,739.3095238,754.2619048,750,750,-0.019633515,-0.016033371,0.019982662,-0.019509278,benign
10:59.8,611,2.19E-07,0.000500174,0.106519476,741.5952381,759.0714286,750,750,-0.213853361,0.010530523,-0.164876066,-0.21323001,benign
