timestamp,load,vibration_x,vibration_y,q3,servo1_raw,servo3_raw,servo5_raw,servo6_raw,xgyro,yacc,pitch,rollspeed,label
40:54.9,610,1.69E-08,0.000130164,0.018789475,745.8333333,745.8571429,750,750,0.002422266,-0.027452999,-0.0375848,0.002582159,benign
40:55.9,605,1.30E-08,0.000125419,0.018494953,746.452381,745.6904762,750,750,-0.001839818,-0.012033471,-0.036993745,-0.001989467,benign
40:57.0,607,1.38E-08,0.000126292,0.020444303,743.8095238,746.5952381,750,750,0.000787536,-0.05013342,-0.040892059,5.44E-05,benign
40:58.0,607,1.35E-08,0.000120322,0.021137163,744.9285714,743.452381,750,750,0.001897923,-0.010269981,-0.04227814,0.001897937,benign
40:59.1,606,1.33E-08,0.000116958,0.020675233,746.547619,743.0238095,750,750,-0.00109598,-0.023236023,-0.041352507,-0.00088361,benign
41:00.2,607,1.58E-08,0.000124344,0.02158285,744.4761905,745.952381,750,750,0.001412764,-0.043001065,-0.043171343,0.001497198,benign
41:01.2,608,1.32E-08,0.000119359,0.021512601,745.0952381,744.6190476,750,750,-0.000669285,-0.04209202,-0.043031748,-0.000669196,benign
41:02.2,606,1.33E-08,0.000117391,0.023065884,743.3095238,744.1666667,750,750,-0.007768723,-0.029759049,-0.046139177,-0.007768578,benign
41:03.3,606,1.48E-08,0.000117446,0.021171844,746.3571429,741.7380952,750,750,0.00281523,-0.03376668,-0.042351488,0.002961766,benign
41:04.3,606,1.49E-08,0.000114344,0.021642205,745.7142857,742.8333333,750,750,0.000938629,-0.031306191,-0.043288601,0.001473514,benign
41:05.4,606,1.28E-08,0.000113121,0.020352152,745.5238095,742.9285714,750,750,-0.002878223,-0.038067567,-0.040708286,-0.003262906,benign
41:06.4,606,1.32E-08,0.000118963,0.020570934,744.9285714,747.952381,750,750,-0.001273953,-0.036963502,-0.041145799,-0.001273905,benign
41:07.5,608.5,1.33E-08,0.000116609,0.019431397,744.2857143,744.3809524,750,750,-8.63E-05,-0.017659773,-0.038865557,0.000719916,benign
41:08.5,603,1.49E-08,0.000121472,0.015933898,745.1428571,743.7380952,750,750,-0.007220455,0.013248898,-0.031868939,-0.006635232,benign
41:09.6,602,1.35E-08,0.000116758,0.014650544,744.0238095,748.6666667,750,750,0.003100088,0.036025446,-0.029301717,0.003100106,benign
41:10.6,610,1.55E-08,0.000124364,0.011948971,745.4285714,747.4047619,750,750,-0.005609615,0.02455717,-0.023899287,-0.005474549,benign
